ind,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_avg_age,beta_avg_water_dist,beta_avg_sqft,beta_avg_basement,beta_avg_index,beta_avg_unemp,beta_avg_tech,se_Intercept,se_avg_age,se_avg_water_dist,se_avg_sqft,se_avg_basement,se_avg_index,se_avg_unemp,se_avg_tech,t_Intercept,t_avg_age,t_avg_water_dist,t_avg_sqft,t_avg_basement,t_avg_index,t_avg_unemp,t_avg_tech,p_Intercept,p_avg_age,p_avg_water_dist,p_avg_sqft,p_avg_basement,p_avg_index,p_avg_unemp,p_avg_tech,sumW_Intercept,sumW_avg_age,sumW_avg_water_dist,sumW_avg_sqft,sumW_avg_basement,sumW_avg_index,sumW_avg_unemp,sumW_avg_tech
188.0,-122.3309731,47.57642781,-0.33094861479092574,-0.41384900745543757,-0.18157896625886139,-0.14936964853206436,0.936598122905855,0.15373697950076254,-0.011990226131961018,-0.2830335455181772,0.7129331834092576,-0.10337507346166021,0.032915245906736626,-0.05502673107001223,0.06832547113859475,0.057736162159968886,0.0371059173767347,0.0708512573031029,0.04478259368525043,0.02818509625955622,0.03318593113799208,0.02595600290205989,0.025917845218634137,2.6627502374474656,-0.32313514877491895,-3.9947568510655334,15.919872538424876,-3.6677211427514873,0.9918433739246338,-2.120000189460807,2.636232702303154,0.008102312081833398,0.7467826095415109,7.871428041347082e-05,1.798215177933397e-43,0.0002820827265849173,0.3219475912246397,0.034697392173786964,0.00875020799555811,11.810492174159911,12.974876110363446,12.974876110363446,11.810492174159911,48.79925851944117,79.53888005970845,205.37299536954106,112.54805630159107
189.0,-122.38791909999999,47.58937788,0.660959137836477,-0.07229105030402161,0.7847875441751212,-0.12382840633864423,0.9205116060845029,0.23882971883686188,0.02433891235911044,-0.4441623974801557,0.6864658318683794,-0.09606041829628309,0.04203502413575049,-0.05423087496031937,0.07003714335452112,0.0572601503251698,0.035312290789382764,0.07633672251712156,0.04981479668317839,0.028803739949704636,0.034553733408022216,0.026042376929855553,0.02589905569215783,4.1709586419279745,0.6892476193141326,-5.818463025846237,13.780360004965898,-3.334998110107161,1.216511791631505,-2.0824088026369014,2.7042354048347867,3.814678145653117e-05,0.49111643605043864,1.3245209175098842e-08,6.385082707271609e-35,0.0009427918351795508,0.22459594949899875,0.0380187149521871,0.007174915669655406,10.240291214688437,10.637821480260769,10.637821480260769,10.240291214688437,47.04191166935044,79.99134620427591,192.22462029342154,109.74899630248085
191.0,-122.2845993,47.59639733,0.3011855911267142,0.21861485421647298,0.2531480552454515,0.04803753588126275,0.9727655582095157,0.31656850726478625,-0.03606648887601911,-0.43163467704289005,0.9056926806377413,-0.0861651099698833,0.005015269481257811,-0.05348214307905273,0.05422844139757425,0.05964202831160621,0.033485919277748744,0.07658746367744904,0.03381619546004761,0.02856463958677781,0.03311591888186866,0.025964944848503903,0.02614138115476653,5.307809211498307,-1.0770643199867338,-5.635839813950957,26.782808305794735,-3.0164956119302127,0.15144588012636204,-2.059782656620369,2.0744290853081577,1.956321237843357e-07,0.28218084614616196,3.547395279595178e-08,2.51884475399064e-87,0.002741004323982784,0.8797097824532483,0.040145884986186334,0.038757664426956516,16.17668518909263,16.228502767801498,16.228502767801498,16.17668518909263,42.67639369228308,73.97553950402359,223.48735133567814,112.02831783813073
192.0,-122.17286010000001,47.59138291,0.631648683032872,-0.1558064246077393,0.8179858578758159,-0.18633717484294388,0.9690960286874007,-0.08294304515597417,0.009575072198539147,-0.5063754269687941,1.063871781860617,0.00922524052975649,-0.07377214357133066,-0.053814262727945254,0.02893418412137337,0.047327094380752145,0.05621186596000446,0.06189564146333785,0.02537508263955531,0.026016907728919885,0.03153098550341693,0.025838920722792594,0.026630178324882695,-1.7525488568701775,0.17033898510595516,-8.181116068871043,41.92584500994795,0.35458635691365786,-2.339671354811798,-2.082682295645403,1.0865186018802533,0.08054032001884386,0.864840316526744,5.037202388018992e-15,9.189654735562129e-140,0.7231094483263615,0.019852849257047476,0.03799360328314299,0.27798473940024876,16.72249874955285,17.288618483838228,17.288618483838228,16.72249874955285,42.01824461723777,61.9401062873842,217.94001295677043,88.47028342560353
193.0,-122.12843640000001,47.60025635,-0.1210471784213712,-0.12223193566953566,-0.17284928914851813,0.05180211072714694,0.9615343084758208,-0.13975935654889796,0.13921947632737885,-0.5115493126409992,0.9330197347249001,0.015010942287671625,-0.07630015883218355,-0.05343507927593306,0.02203515838060175,0.04874307659788359,0.04914810374157692,0.06624349201968582,0.02629460076308555,0.025373925595581374,0.030938682122523143,0.025815725079450336,0.026700508084187988,-2.8672658006771417,2.832652040033966,-7.722257644403472,35.48332005993973,0.5915892766031299,-2.466173527690036,-2.0698655223311198,0.8252711263442566,0.004386811368757027,0.004879106704250282,1.1701019174182e-13,6.023782490901296e-119,0.5545011248934519,0.014127101343266262,0.039185748814625686,0.40977033870283386,16.90998239512381,17.30940490037927,17.30940490037927,16.90998239512381,44.306936264191684,65.33941675923703,211.6552860191063,87.03877920893692
194.0,-122.1886982,47.59571093,1.1473628994168632,0.23417612826273682,0.7376965463189392,0.409666353097924,0.9712078957736029,-0.05506482622676169,-0.06602973864706482,-0.529314619921043,1.1191977865769298,-0.00016364798671723163,-0.07193890253840238,-0.0535549639468572,0.03073907391663483,0.047147615958488834,0.05998140663848369,0.06215852983507609,0.026549817377453804,0.026294370177117908,0.031458540601636456,0.025863085781071108,0.02663566526157575,-1.1679238728686425,-1.1008367817219638,-8.515558867390562,42.15463220200363,-0.006223689162923654,-2.2867844840412004,-2.0707105254259126,1.1540569238560976,0.24361905461140212,0.2717114674218494,4.721799540987214e-16,1.8305199893463454e-140,0.9950377326108479,0.022794866871390786,0.03910618059455595,0.24925097923233308,14.736040515522582,15.871129725643872,15.871129725643872,14.736040515522582,40.333416662031475,62.39249829274754,222.9657353555018,89.24170604741582
195.0,-122.15394920000001,47.59939013,0.3010040874466575,-0.14901868197491264,0.23764085875850363,0.06336322868815389,0.9663761343122701,-0.11199878138212074,0.04682739806927576,-0.5439270201382571,1.059260472711008,0.017676036132365083,-0.07646930327978577,-0.053446902444126906,0.024323058396101452,0.049880221785640735,0.05445471129189206,0.06152469680341598,0.02573944661099275,0.026119377694574515,0.03115641666692631,0.025833661761873294,0.026708364394884464,-2.2453545187395774,0.8599329049467945,-8.840791558489355,41.15319527726837,0.6767403243315682,-2.4543677181259667,-2.0688860501768556,0.910690674894346,0.02535855317710028,0.3904047451650151,4.46055138335558e-17,2.2316707989986118e-137,0.49901019600243557,0.01459135329437732,0.03927815179987929,0.36307457891326045,16.055265994429963,18.92250420209624,18.92250420209624,16.055265994429963,42.352993807297814,65.21704077500638,218.45627889521248,87.16243760233846
196.0,-122.307791,47.60592367,-0.09693833635551574,0.2762332847222444,-0.046019006792280784,-0.05091932956323496,0.9483803114097086,0.40811082251698955,-0.04335395544959263,-0.49907706757041326,0.8505555614630504,-0.08924080095613413,0.022557453929289175,-0.0529525610371162,0.05558502672789616,0.06509895160318006,0.03220950136274563,0.08396577247751,0.04249731087985216,0.029319825139365183,0.03581273570242921,0.026006501392120827,0.026072286520917854,6.269084408681222,-1.345998963515063,-5.943815591098024,20.01433840996975,-3.04370167734453,0.6298724039604459,-2.036127821989897,2.1319582646999593,1.0511105444901833e-09,0.17915934839603403,6.641654582137373e-09,3.058422612442715e-60,0.0025106396470046697,0.5291821165141322,0.04247732869537658,0.033694430268259294,17.516440727135784,18.397462394587297,18.397462394587297,17.516440727135784,46.84370175606381,79.32980353267489,222.6632704481164,118.28783421541314
197.0,-122.2006088,47.58303591,2.551001473621752,0.6837382421746485,2.477325195723126,0.07367627789862574,0.973093394643098,-0.03639329574980384,-0.024706491060934574,-0.41083853975021195,1.0721659744232555,-0.015977974936826504,-0.06267277030279382,-0.054337063684427714,0.03740949697317472,0.04373973013504924,0.05042684665084889,0.06354397788599189,0.026075019666454324,0.02553272314872657,0.031228888276431686,0.025842571280607685,0.02648141921573843,-0.8320420733606996,-0.4899471750038263,-6.465420538942688,41.118510671829085,-0.6257842081220936,-2.0068844509617945,-2.102618315121079,1.4126696408680968,0.40594296790732687,0.6244730694328826,3.3328096289849866e-10,2.8602000473644266e-137,0.5318574693494952,0.04551762730250064,0.03620086941117393,0.158626504508576,13.744127348070565,14.166202629376151,14.166202629376151,13.744127348070565,41.90549994030365,61.91988024148888,218.60680574783814,91.56677972694632
198.0,-122.2976324,47.607330100000006,0.08991380364372964,-0.2348542923326804,0.27228519192700124,-0.1823713882832716,0.9592023837730389,0.4034800823355958,-0.04527402858320349,-0.49780393803487205,0.9098873054616781,-0.08577149278253704,0.016817062293845445,-0.05289316901503904,0.05350261874809194,0.06443937761443855,0.03269178755231729,0.08315941807851172,0.0383541552435503,0.0292572497830818,0.035994160387073516,0.02599517440462455,0.026120455405432765,6.2613901200248465,-1.3848746725993677,-5.986140229659735,23.723304546374706,-2.9316321054939,0.46721640713377804,-2.034730300006348,2.0483034433222014,1.098907932650773e-09,0.1669580465523128,5.247416178050087e-09,2.7336941262974107e-75,0.003589796081466353,0.6406308903734783,0.042618595804409326,0.0412633101168443,17.788361319839638,17.880609181487937,17.880609181487937,17.788361319839638,45.00953833426452,76.06761251262677,225.6054236815402,116.27576086842487
